Time,Measurement
0.0,-0.5
0.1,-0.4950150786576755
0.2,-0.48021519784993616
0.3,-0.45605895831797205
0.4,-0.4232903883603442
0.5,-0.38290901380373216
0.6,-0.336130071852067
0.7,-0.28433659517831095
0.8,-0.22902559491039245
0.9,-0.17175080744749122
1.0,-0.11406459670061682
1.1,-0.057461600588654405
1.2,-0.0033265800127163514
1.3,0.04711132160800832
1.4,0.09281605528430867
1.5,0.13297246713237726
1.6,0.1670035111322295
1.7,0.19457649732405607
1.8,0.21559853929418474
1.9,0.23020188261059002
2.0,0.23872026454119705
2.1,0.24165785163731252
2.2,0.23965260667880206
2.3,0.2334361364835
2.4,0.2237921595881895
2.5,0.21151570649880508
2.6,0.19737502998844997
2.7,0.18207796950806585
2.8,0.16624419796056877
2.9,0.15038440074680115
3.0,0.1348870188565611
3.1,0.12001275409960212
3.2,0.10589660970546569
3.3,0.09255684654758105
3.4,0.07990989469476113
3.5,0.06778998873953103
3.6,0.055972105762761265
3.7,0.044196684141844605
3.8,0.03219459161058043
3.9,0.01971088864184974
4.0,0.006526090013389774
4.1,-0.0075261493045568895
4.2,-0.022545724091318303
4.3,-0.03855763907829449
4.4,-0.055508615720695514
4.5,-0.07326861091498495
4.6,-0.09163682769029712
4.7,-0.11035155426534142
4.8,-0.12910297889188024
4.9,-0.1475480026970843
5.0,-0.1653260160924114
